
------------------------------------------------------------------------------

tsLinesOfCode, v2.0.0 (build 04/14/2013)

  Author(s): Richard S. Gordon
  Copyright (c) 2007-2013 Richard S. Gordon.
		All rights reserved.
  GNU General Public License, Version 3, 29 June 2007

  Credits:

	  tsLibCLI Import & Application Launch Features:
	  Copyright (c) 2007-2009 Frederick A. Kier.
			All rights reserved.

	  File Extension Features of SLOCCount 2.26:
	  Copyright (c) 2001-2004 David A. Wheeler.
			All rights reserved.

	  Algorithm Features of COCOMO(R) 81:
	  Copyright (c) 1981 Dr. Barry W. Boehm.
			All rights reserved.

	  Python Logging Module API Features:
	  Copyright (c) 2001-2013 Python Software Foundation.
			All rights reserved.
	  PSF License Agreement for Python 2.7.3 & 3.3.0

------------------------------------------------------------------------------

    CODE    CMNTS    LINES    WORDS    CHARS PATH/FILE
       0       51       51      314     3021 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/Block_Diagram.txt
     309      283      592     1932    20919 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/draft_tsStripComments.py
       0      107      107      263     6568 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/exitCodeList.txt
       0     1041     1041     3926    50346 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/exitCodes.txt
       0      265      265      707    11274 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/junkoutput.txt
     427      614     1041     3480    36507 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/monolithic_test_tsCommandLineEnv_20130504.py
     853      836     1689     4321    58623 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/new_test_tsWxWidgets.py
       0      511      511     2732    23611 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/README.txt
      66      263      329     1533    12667 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/refactored_test_tsCommandLineEnv_20130505.py
     226        6      232     1575    18445 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/run_pylint_script.sh
     166      186      352     1061    10047 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/setup.py
       5        1        6       12       82 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tabs.py
     443      592     1035     3318    35754 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsApplication.py
      52      113      165      515     4869 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsCommandLineEnv.py
      91       66      157      443     4663 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsCommandLineInterface.py
     445      627     1072     3559    37179 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsCommandLineParser.py
     234      151      385      954    11043 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsDecorators.py
     139       82      221      590     6845 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsExceptions.py
     302      148      450     1479    16287 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsLogger.py
     126      278      404     1479    14121 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsParseCommandLine.py
     193      106      299      791    10064 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsReportUtilities.py
     128       90      218      696     7050 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsThreadPool.py
     264      233      497     1129    14253 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsWxBoxSizer.py
     934      557     1491     4359    64467 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsWxCurses.py
     301      236      537     1249    16509 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsWxGridSizer.py
     844      834     1678     4297    58321 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/test_tsWxWidgets.py
     707      997     1704     6203    68624 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsApplication.py
     181      318      499     1675    17608 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsCommandLineEnv.py
      98      122      220      653     6628 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsCommandLineInterface.py
     523      653     1176     3555    39950 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsCommandLineParser.py
      30       63       93      269     2324 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsConfig.py
     229      432      661     2159    19150 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsDecorators.py
     343      256      599     1823    22291 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsExceptions.py
    1505     3378     4883    13788   166500 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLinesOfCode.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLinesOfCodeStatistics.txt
     856      763     1619     5431    61375 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLogger.py
     138      177      315     1149    11502 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsOptionParser.py
     367      235      602     1902    21669 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsPlatformRunTimeEnvironment.py
     355      372      727     2374    26739 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsReportUtilities.py
     160      177      337      935    11933 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsSysCommands.py
      94      112      206      571     5828 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsThreadPool.py
     344      384      728     1944    16538 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/sampleHelp/GeneralCmds.c
      59       58      117      422     2253 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/sampleHelp/hello.f90
       4       20       24       56      571 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/sampleHelp/tsConfig.py
       0       85       85      317     3502 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/sampleHelp/tsLinesOfCodeStatistics.txt
      25       40       65      252     1414 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/sampleHelp/xmitr.asm
      73      144      217      705     6374 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/__init__.py
       0        0        0        0        0 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/__init__.py
     616      906     1522     5357    61419 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/tsApplication.py
      63       96      159      497     3945 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/__init__.py
      43       12       55      168     1843 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/classimporter.py
     417      291      708     1784    22999 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/commentless_tsApplication.py
      93      157      250     1035     8513 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/decorator.py
     401      607     1008     3277    35036 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/default_test_tsApplication.py
      59       66      125      339     3272 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/exitTest.py
      47       72      119      356     3258 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/getCommandLineParserModule.py
      31        8       39      121      988 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/getoptSample.py
      31       56       87      293     2398 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/getRunTimeTitle.py
      37       57       94      300     2663 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/getRunTimeTitleVersionDate.py
      77       72      149      444     4414 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/mainTest.py
      54       72      126      402     4013 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineUsageViaArgParse.py
      67       72      139      444     4377 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineUsageViaGetOpt.py
      54       73      127      403     4012 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineUsageViaOptParse.py
      85      101      186      521     5701 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineViaArgParse.py
     158      156      314      789     8355 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineViaGetOpt.py
      82       85      167      439     4870 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/parseCommandLineViaOptParse.py
       0       27       27       52      571 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/plan.txt
       0      444      444     2308    18810 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/README_tsApplication.py
     272      264      536     1453    16940 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_ArgParse.py
     272      264      536     1453    16940 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_GetOpt.py
     272      264      536     1453    16940 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_OptParse.py
     421      580     1001     3267    34917 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_test_tsApplication.py
     421      579     1000     3255    34800 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/renamed_tsApplication.py
     374      379      753     2060    26599 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/sourceApplication.py
     443      592     1035     3318    35767 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsApplication.py
     158      238      396     1174    13386 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsApplication_ArgParse.py
     268      281      549     1536    17577 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsApplication_GetOpt.py
     168      218      386     1112    13268 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsApplication_OptParse.py
     848      990     1838     5568    57820 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsCommandLineEnv.py
      66      263      329     1533    12667 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsCommandLineParser.py
     221      164      385      976    11087 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsDecorators.py
     126       95      221      612     6889 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsExceptions.py
     300      150      450     1481    16291 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsLogger.py
     179      121      300      814    10111 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/test_tsReportUtilities.py
     309      418      727     1979    21840 /cygdrive/d/WR/SoftwareGadgetry-Dev/Python-2.x/tsLibCLI/tsApplicationPkg/src/inactive/tidy_tsApplication.py
